k   	λ^{(k)}         	ζ_{comp}(λ^{(k)}	X_k 	how column ends
189 	1973/76         	21703/950       	12  	zero count
190 	3380/133        	14872/665       	16  	above ΛM_{comp}
191 	1705/69         	7502/345        	13  	above ΛM_{comp}
192 	5187/215        	114114/5375     	12  	above ΛM_{comp}
193 	6505/278        	14311/695       	13  	above ΛM_{comp}
194 	1827/80         	20097/1000      	11  	above ΛM_{comp}
195 	4919/222        	54109/2775      	13  	zero count
196 	2350/109        	2068/109        	12  	above ΛM_{comp}
197 	1939/93         	42658/2325      	11  	zero count
198 	1217/60         	13387/750       	12  	above ΛM_{comp}
199 	2683/137        	59026/3425      	10  	above ΛM_{comp}
200 	2475/131        	2178/131        	12  	above ΛM_{comp}
201 	1385/76         	3047/190        	9   	above ΛM_{comp}
202 	1772/101        	38984/2525      	9   	zero count
203 	2030/121        	812/55          	9   	zero count
204 	2119/131        	1043/75         	9   	zero count
205 	1102/71         	1787/136        	8   	zero count
206 	1837/125        	40414/3125      	8   	zero count
207 	1511/108        	1013/87         	8   	above ΛM_{comp}
208 	1091/82         	1013/87         	6   	zero count
209 	1072/85         	641/62          	6   	zero count
210 	1473/122        	387/40          	5   	zero count
211 	691/61          	899/98          	6   	zero count
212 	709/65          	1055/116        	6   	zero count
213 	1276/127        	691/81          	6   	zero count
214 	959/99          	934/123         	5   	above ΛM_{comp}
215 	1013/114        	934/123         	4   	zero count
216 	736/87          	137/23          	4   	zero count
217 	859/110         	694/121         	4   	zero count
218 	415/56          	720/139         	3   	zero count
219 	662/99          	263/53          	5   	above ΛM_{comp}
220 	606/95          	263/53          	5   	zero count
221 	265/43          	461/109         	3   	zero count
222 	731/137         	259/64          	3   	zero count
223 	863/170         	667/278         	2   	above ΛM_{comp}
224 	2125/531        	667/278         	2   	zero count
225 	317/87          	633/277         	1   	zero count
226 	265/104         	186/119         	1   	zero count
227 	179/82          	                	    	λ^{(k)} is below 5/2
